Sl. #,Country,Module,Brokerage Fields,Formula,Table Name,Column Name,,,,,,,,,,,,,,,
1,India,Opportunity Flow,Basic premium (A),User Input,opportunity,basic_premium,,,,,,,,,,,,,,,
2,India,Opportunity Flow,Terrorism premium (B),User Input,opportunity,terrorism,,,,,,,,,,,,,,,
3,India,Opportunity Flow,Net premium (C),=A+B,opportunity,net_premium,,,,,,,,,,,,,,,
4,India,Opportunity Flow,GST % (D),User Input,opportunity,gst_percentage,,,,,,,,,,,,,,,
5,India,Opportunity Flow,GST Amount (E),=D*C,opportunity,gst_amount,,,,,,,,,,,,,,,
6,India,Opportunity Flow,Fee (F),User Input,opportunity,fee,,,,,,,,,,,,,,,
7,India,Opportunity Flow,Other amount (G),User Input,opportunity,other,,,,,,,,,,,,,,,
8,India,Opportunity Flow,Gross premium (H),=C+E+F+G,opportunity,gross_premium,,,,,,,,,,,,,,,
9,India,Opportunity Flow,Basic brokerage percentage (I),User Input,opportunity,basic_brokerage_percentage,,,,,,,,,,,,,,,
10,India,Opportunity Flow,Basic brokerage amount (J),=A*I,opportunity,basic_brokerage_amount,,,,,,,,,,,,,,,
11,India,Opportunity Flow,Terrorism brokerage percentage (K),User Input,opportunity,terrorism_brokerage_percentage,,,,,,,,,,,,,,,
12,India,Opportunity Flow,Terrorism brokerage amount (L),=B*K,opportunity,tc_brokerage_amount,,,,,,,,,,,,,,,
13,India,Opportunity Flow,Total brokerage amount (M),=J+L,opportunity,total_brokerage_amount,,,,,,,,,,,,,,,
14,India,Policy Flow,Premium at Inception(N),User Input,policy,premium_at_inception,,,,,,,,,,,,,,,
15,India,Policy Flow,Terrorism amount(O),User Input,policy,terrorism_amount,,,,,,,,,,,,,,,
16,India,Policy Flow,Net premium (P),=C,policy,net_premium,,,,,,,,,,,,,,,
17,India,Policy Flow,Fee amount (Q),=F,policy,fee_amount,,,,,,,,,,,,,,,
18,India,Policy Flow,Other amount (R),=G,policy,other_amount,,,,,,,,,,,,,,,
19,India,Policy Flow,GST % (S),=D,policy,gst_percentage,,,,,,,,,,,,,,,
20,India,Policy Flow,GST Amount (T),=E,policy,gst_amount,,,,,,,,,,,,,,,
21,India,Policy Flow,Gross premium (U),=H,policy,gross_premium,,,,,,,,,,,,,,,
22,India,Policy Flow,Basic brokerage percentage (V),=I,policy,basic_brokerage_percentage,,,,,,,,,,,,,,,
23,India,Policy Flow,Basic brokerage amount (W),=J,policy,basic_brokerage_amount,,,,,,,,,,,,,,,
24,India,Policy Flow,Terrorism brokerage % (X),=K,policy,terrorism_brokerage_percentage,,,,,,,,,,,,,,,
25,India,Policy Flow,Terrorism amount (Y),=L,policy,terrorism_amount,,,,,,,,,,,,,,,
26,India,Policy Flow,Total brokerage amount (Z),=M,policy,total_brokerage_amount,,,,,,,,,,,,,,,
27,India,Inception/Endorsement Flow,Net premium (AA),Sum of Premiums of all Employee & Dependents,endorsement ,net_premium,,,,,,,,,,,,,,,
28,India,Inception/Endorsement Flow,GST% (AB),=D,endorsement ,gst_percentage,,,,,,,,,,,,,,,
29,India,Inception/Endorsement Flow,GST Amount (AC),=D*AB,endorsement ,gst_amount,,,,,,,,,,,,,,,
30,India,Inception/Endorsement Flow,Gross premium (AD),=AA+AC,endorsement ,gross_premium,,,,,,,,,,,,,,,
31,India,Inception/Endorsement Flow,Basic brokerage percentage (AE),=I,endorsement ,basic_brokerage_percentage,,,,,,,,,,,,,,,
32,India,Inception/Endorsement Flow,Basic brokerage amount (AF),=AE*AA,endorsement ,basic_brokerage_amount,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
