Rule Ref,Rule Title,Applicable?,Applicability Notes
Section 1,"Short title, extent, commencement",YES,Applies by default to all organizations operating in India. No action required but legally binding.
Section 2,Definitions,YES,"Defines terms like Data Principal, Data Fiduciary, processing, consent etc. Applies automatically."
Section 3,Obligations of Data Fiduciary,YES,"Core obligations such as notice, consent, purpose limitation, accuracy, minimization—mandatory for all companies."
Section 4,Consent Managers,NO,Not applicable as the company is not a registered Consent Manager under MeitY.
Section 5,Govt benefit processing,NO,"Not applicable because the company does not provide government subsidies, welfare, or public services."
Section 6,Security safeguards,YES,"Mandatory security safeguards including encryption, access control, logging, DR, and vendor security."
Section 7,Data breach notification,YES,Mandatory 72‑hour breach notification requirement for all organizations.
Section 8,Data retention & erasure,YES,Mandatory rule requiring deletion of personal data once purpose ends; retention justification required.
Section 9,Grievance redressal / DPO contact,YES,Must publish grievance redressal contact / DPO contact for Data Principals.
Section 10,Children’s data processing,NO,Not applicable—company does not process personal data of children under 18.
Section 11,Guardian consent (disability),NO,Not applicable—company does not process data of persons requiring guardian consent.
Section 12,Child data exemptions,NO,Not applicable—company not engaged in child education/health/transport services.
Section 13,Significant Data Fiduciary obligations,CONDITIONAL,Applicable only if designated as Significant Data Fiduciary (SDF) by Government.
Section 14,Data Principal Rights,YES,"Must allow access, correction, erasure, grievance redressal—mandatory."
Section 15,Cross-border data transfer,YES,Mandatory transparency for any cross‑border data transfer (AWS/Azure foreign regions used).
Section 16,Exemptions,NO,Not applicable—company does not fall under research or government exemptions.
Section 17,DPB establishment,NO,DPB administrative section—no action required.
Section 18,DPB inquiry powers,NO,DPB inquiry powers—no action required unless under investigation.
Section 19,Penalties,NO,Penalty structure—applies only if non‑compliant.
Section 20,Appeal to TDSAT,NO,Appeal process—applies only in case of penalty dispute.
Section 21,Voluntary undertaking,NO,Voluntary undertaking—applicable only if company makes a legal commitment to DPB.
Section 22,Rule-making powers,NO,Government rule‑making powers—informational only.
Section 23,Notification of Rules,NO,Government notification powers—informational only.
Rule 3,Privacy Notice Requirements,YES,"Mandatory privacy notice requirements—must specify data collected, purpose, grievance, retention."
Rule 4,Consent Manager rules,NO,Not applicable—company is not a Consent Manager.
Rule 5,Govt welfare processing,NO,Not applicable—company does not provide government welfare services.
Rule 6(a),Encryption at rest,YES,"Mandatory encryption at rest—servers, endpoints, backups must be encrypted."
Rule 6(b),Access control,YES,"Mandatory access control—least privilege, MFA, RBAC required."
Rule 6(c),Logging,YES,"Mandatory logging of access, errors, and security events."
Rule 6(d),Backup/DR,YES,Mandatory backup and disaster recovery controls with restore testing.
Rule 6(e),Log retention (1 year),YES,Mandatory 1‑year log retention for accountability.
Rule 6(f),Vendor/processor controls,YES,Vendor contractual obligations—must include DPDP clauses.
Rule 6(g),Additional security safeguards,YES,Catch‑all rule—any additional technical/organizational security controls needed.
Rule 7,Breach notification,YES,Must report breaches to Data Protection Board & affected users within 72 hours.
Rule 8,Retention & deletion,YES,"Mandates deletion, retention justification, and data lifecycle management."
Rule 9,Publish contact / grievance,YES,Requires publishing valid contact/DPO information for Data Principals.
Rule 10,Child data processing,NO,Not applicable—no children’s data processed.
Rule 11,Guardian consent,NO,Not applicable—no guardian‑based consent scenarios.
Rule 12,Child data exemption rules,NO,Not applicable—company not in child‑related services.
Rule 13(1),SDF DPIA Requirement,CONDITIONAL,Applies only if designated SDF—annual DPIA required.
Rule 13(2),SDF Annual Audit,CONDITIONAL,Applies only if SDF—annual independent data audit required.
Rule 13(3),Algorithmic risk assessment,NO,Not applicable—no automated or algorithmic decision‑making systems.
Rule 13(4),SDF cross-border restrictions,CONDITIONAL,Applies only if SDF—special cross‑border restrictions.
Rule 13(5),DPO reporting to Board,CONDITIONAL,Applies only if SDF—DPO must report to Board.
Rule 14,Rights Handling,YES,"Mandatory handling of user rights (access, correction, deletion)."
Rule 15,Cross-border transfer compliance,YES,Mandatory international data transfer documentation and compliance.
Rules 16–23,DPB administrative procedures,NO,DPB internal procedures—no implementation required unless under investigation.
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
