"id","admin_report_id","parameter_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","query_parameter","input_field_type","option_type","option","order_no"
"1","1","startDate","Start Date","date","2025-07-23 18:49:55.798969","2025-07-23 18:49:55.798969","","","","","###START_DATE###","","","",""
"3","2","startDate","Start Date","date","2025-07-23 18:49:55.798969","2025-07-23 18:49:55.798969","","","","","###START_DATE###","","","",""
"2","1","endDate","End Date","date","2025-07-23 18:49:55.798969","2025-07-23 18:49:55.798969","","","","","###END_DATE###","","","",""
"4","2","endDate","End Date","date","2025-07-23 18:49:55.798969","2025-07-23 18:49:55.798969","","","","","###END_DATE###","","","",""
"12","7","functionName","Function Name","string","2025-07-23 19:52:54.431556","2025-07-23 19:52:54.431556","","","","","###FunctionName###","SelectBox","query","{""raw_query"":""select * from (select 'All' as label, '#99#' as value, 0 as sort_order union select distinct function_name as label, function_name as value, 1 as sort_order from public.vr_role_permission_info) as t order by sort_order, label""}",""
"13","7","actionName","Action Name","string","2025-07-23 19:52:54.431556","2025-07-23 19:52:54.431556","","","","","###ActionName###","SelectBox","query","{""raw_query"":""select * from (select 'All' as label, '#99#' as value, 0 as sort_order union select distinct action_name as label, action_name as value, 1 as sort_order from public.vr_role_permission_info) as t order by sort_order, label""}",""
"14","7","permittedRoleName","Permitted Role Name","string","2025-07-23 19:52:54.431556","2025-07-23 19:52:54.431556","","","","","###PermittedRoleName###","SelectBox","query","{""raw_query"":""select * from (select 'All' as label, '#99#' as value, 0 as sort_order union select distinct permitted_role_name as label, permitted_role_name as value, 1 as sort_order from public.vr_role_permission_info) as t order by sort_order, label""}",""
"15","8","to_reference_status","To Reference Status","string","2025-07-15 06:42:17.814823","2025-07-15 06:42:17.814823","","","","","###ToReferenceStatus###","SelectBox","query","{""raw_query"":""select * from (select 'All' as label, '#99#' as value, 0 as sort_order union select distinct to_reference_status as label, to_reference_status as value,1 as sort_order from public.vr_user_hierarchy) as t order by sort_order, label""}",""
"16","8","from_reference_status","From Reference Status","string","2025-07-15 06:42:17.814823","2025-07-15 06:42:17.814823","","","","","###FromReferenceStatus###","SelectBox","query","{""raw_query"":""select * from (select 'All' as label, '#99#' as value, 0 as sort_order union select distinct from_reference_status as label, from_reference_status as value, 1 as sort_order from public.vr_user_hierarchy) as t order by sort_order, label""}",""
"17","8","hierarchy","Hierarchy","string","2025-07-15 06:42:17.814823","2025-07-15 06:42:17.814823","","","","","###HIERARCHY###","SelectBox","raw","{""data"":[{""label"":""All"",""value"":""#99#""},{""label"":""Reportees"",""value"":""Reportees""},{""label"":""Higher Ups"",""value"":""Higher Ups""}]}",""
