"id","admin_report_id","query_parameter_name","variable_name","label","data_type","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","alignment"
"5","1","entity_type","entityType","Entity Type","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"6","1","entity_name","entityName","Entity Name","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"7","1","operation","operation","Action","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"10","1","status","status","Entity Status","string","2025-07-25 13:14:44.102729","","","1","","",""
"8","1","created_at","eventTime","Time of Action","date","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"9","1","created_by","entityStatus","Performed By","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"1","2","entity_type","entityType","Entity Type","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"3","2","operation","operation","Action","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"4","2","action_count","count","# of Actions","number","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"2","2","created_by","performedBy","Performed By","string","2025-07-23 18:50:54.150342","2025-07-23 18:50:54.150342","","","","",""
"12","9","operation","operation","Action","string","2025-08-02 09:30:56.483659","","","1","","",""
"13","9","attempts","attempts","# of Attempts","number","2025-08-02 09:30:56.483659","","","1","","",""
"14","5","lookup_name","lookupName","Name","string","2025-08-02 09:43:55.408989","","","1","","",""
"15","5","lookup_value","lookupValue","Value","string","2025-08-02 09:43:55.408989","","","1","","",""
"17","5","display_order","displayOrder","Display Sequence","string","2025-08-02 09:43:55.408989","","","1","","",""
"18","5","lookup_value_key","lookupValueKey","Value Key","string","2025-08-02 09:43:55.408989","","","1","","",""
"20","5","lookup_id","lookupId","ID","number","2025-08-02 09:43:55.408989","","","1","","",""
"16","5","lookup_description","lookupDescription","Description","string","2025-08-02 09:43:55.408989","","","1","","",""
"19","5","unique_lookup_key","uniqueLookupKey","Unique Key","string","2025-08-02 09:43:55.408989","","","1","","",""
"21","8","employee_from","employeeFrom","Employee (Source)","string","2025-08-02 09:54:54.271364","","","1","","",""
"22","8","hierarchy","hierarchy","Hierarchy Type","string","2025-08-02 09:54:54.271364","","","1","","",""
"23","8","employee_to","employee_to","Employee (Target)","string","2025-08-02 09:54:54.271364","","","1","","",""
"24","8","from_reference_status","from_reference_status","Status (Source Employee)","string","2025-08-02 09:54:54.271364","","","1","","",""
"25","8","to_reference_status","to_reference_status","Status (Target Employee)","string","2025-08-02 09:54:54.271364","","","1","","",""
"26","8","from_reference_id","from_reference_id","User ID (Source Employee)","number","2025-08-02 09:54:54.271364","","","1","","",""
"27","8","to_reference_id","to_reference_id","User ID (Target Employee)","number","2025-08-02 09:54:54.271364","","","1","","",""
"28","7","function_name","functionName","Function Name","string","2025-08-02 10:03:10.17945","","","1","","",""
"29","7","action_name","actionName","Action Name","string","2025-08-02 10:03:10.17945","","","1","","",""
"30","7","permitted_role_name","permittedRoleName","Permitted Role Name","string","2025-08-02 10:03:10.17945","","","1","","",""
"32","10","operation","operation","Action","string","2025-08-02 10:09:56.632545","","","1","","",""
"33","10","created_at","createdAt","Time of Action","date","2025-08-02 10:09:56.632545","","","1","","",""
"11","9","create_by","createdBy","Performed By","string","2025-08-02 09:30:56.483659","","","1","","",""
"31","10","create_by","createdBy","Performed By","string","2025-08-02 10:09:56.632545","","","1","","",""
"63","14","organisation_name","organisationName","Organisation Name","string","2025-08-04 09:18:05.218304","","","1","","",""
"64","14","vertical_name","verticalName","Vertical Name","string","2025-08-04 09:18:05.218304","","","1","","",""
"65","14","department_name","departmentName","Department Name","string","2025-08-04 09:18:05.218304","","","1","","",""
"66","15","designation_name","designationName","Designation Name","string","2025-08-04 09:18:05.222506","","","1","","",""
"67","15","grade_level","grade_level","Grade Level","number","2025-08-04 09:18:05.222506","","","1","","",""
"68","11","iirm_employee_id","iirmEmployeeId","IIRM Employee Id","string","2025-08-13 05:33:45.036039","","","1","","",""
"69","12","iirm_employee_id","iirmEmployeeId","IIRM Employee Id","string","2025-08-13 05:38:25.689583","","","1","","",""
"201","20","employee_id","employeeId","Employee Id","number","2025-08-26 12:21:11.017376","","","1","","",""
"202","20","employee_name","employeeName","Employee Name","string","2025-08-26 12:21:11.017376","","","1","","",""
"203","20","manager_id","managerId","Manager ID","number","2025-08-26 12:21:11.017376","","","1","","",""
"204","20","manager_name","managerName","Manager Name","string","2025-08-26 12:21:11.017376","","","1","","",""
"205","20","skip_level","skipLevel","Skip Level","number","2025-08-26 12:21:11.017376","","","1","","",""
"206","20","relationship","relationship","Relationship","string","2025-08-26 12:21:11.017376","","","1","","",""
"207","20","hierarchy","hierarchy","Hierarchy","string","2025-08-26 12:21:11.017376","","","1","","",""
"208","20","hierarchy_path","hierarchyPath","Hierarchy Path","string","2025-08-26 12:21:11.017376","","","1","","",""
"209","20","visual_hierarchy","visualHierarchy","Visual Hierarchy","string","2025-08-26 12:21:11.017376","","","1","","",""
"70","16","user_name","userName","User Name","string","2025-11-27 11:00:32.199792","","","1","","",""
"71","16","user_email","userEmail","User Email","string","2025-11-27 11:00:32.199792","","","1","","",""
"72","16","permitted_function_name","permittedFunctionName","Permitted Function Name","string","2025-11-27 11:00:32.199792","","","1","","",""
"73","16","permitted_action_name","permittedActionName","Permitted Action Name","string","2025-11-27 11:00:32.199792","","","1","","",""
"60","13","organisation_name","organisationName","Organisation Name","string","2025-08-04 09:20:15.314197","","","1","","",""
"61","13","vertical_name","verticalName","Vertical Name","string","2025-08-04 09:20:15.314197","","","1","","",""
"62","13","department_name","departmentName","Department Name","string","2025-08-04 09:20:15.314197","","","1","","",""
"34","11","user_name","userName","User Name","string","2025-08-04 08:41:30.816704","","","1","","",""
"35","11","manager_name","managerName","Manager Name","string","2025-08-04 08:41:30.816704","","","1","","",""
"36","11","organisation","organisation","Organisation","string","2025-08-04 08:41:30.816704","","","1","","",""
"37","11","vertical","vertical","Vertical","string","2025-08-04 08:41:30.816704","","","1","","",""
"38","11","department","department","Department","string","2025-08-04 08:41:30.816704","","","1","","",""
