"manager_id","indirect_reports","finalized_policies_owned_by_indirect_reports"
"-1","392","194433"
"342395","391","194433"
"2","383","194430"
"331","199","102245"
"2168","112","75158"
"5950","93","75035"
"5603","46","63844"
"5601","8","34080"
"5624","8","27274"
"2019","30","14644"
"2025","14","14644"
"180122","14","11183"
"5606","9","10970"
"5605","3","2463"
"472","138","994"
"1449","3","181"
"291","5","139"
"5903","2","123"
"5905","10","123"
"5901","4","123"
"498","1","43"
"329","3","10"
"348","1","9"
"1469","91","5"
"2003","84","4"
