"field_label","field_alias","field_value","status","display_order"
"serialNumber","serialNumber","indexOffset","active","1"
"iirmOrganisation","iirmOrganisation","empOrganisationName","active","2"
"companyVertical","companyVertical","companyVertical","active","3"
"SBU","SBU","empSbuName","active","4"
"vertical","vertical","empVerticalName","active","5"
"department","department","empDepartmentName","active","6"
"iirmBranch","iirmBranch","empBranchName","active","7"
"custId","custId","companyId","active","8"
"companyName","companyName","companyName","active","9"
"customerCategory","customerCategory","customerCategory","active","10"
"groupCompany","groupCompany","parentCompanyName","active","11"
"iirmCategory","iirmCategory","policyCategory","active","12"
"policyGroup","policyGroup","policyGroup","active","13"
"policyType","policyType","policyName","active","14"
"incomeMonth","incomeMonth","incomeMonth","active","15"
"businessMonth","businessMonth","businessMonth","active","16"
"dateOfBusiness","dateOfBusiness","dateOfBusiness","active","17"
"dateOfIncome","dateOfIncome","dateOfIncome","active","18"
"policyOwner","policyOwner","empFirstName","active","19"
"associateCrm","associateCrm","associateCrm","active","20"
"leadCrm","leadCrm","leadCrm","active","21"
"crmTeamLead","crmTeamLead","crmTeamLead","active","22"
"crmManager","crmManager","crmManager","active","23"
"accountManager","accountManager","accountManager","active","24"
"centralOpsTeamLead","centralOpsTeamLead","centralOpsTeamLead","active","25"
"centralOpsLead","centralOpsLead","centralOpsLead","active","26"
"insPolNo","insPolNo","insurancePolicyNumber","active","27"
"status","status","policyStatus","inactive","28"
"policyFromDate","policyFromDate","policyFrom","active","29"
"policyToDate","policyToDate","policyTo","active","30"
"incomeType","incomeType","recordType","active","31"
"insEndNo","insEndNo","insEndNo","active","32"
"insurer","insurer","insurerName","active","33"
"insBranch","insBranch","insurerBranch","active","34"
"sharePercentage","sharePercentage","sharePercentage","active","35"
"shareAmount","shareAmount","shareAmount","active","36"
"netPremium","netPremium","netPremium","active","37"
"terrorism","terrorism","terrorism","active","38"
"other","other","other","active","39"
"totalNetPremium","totalNetPremium","totalNetPremium","active","40"
"gstPercentage","gstPercentageValue","gstPercentageValue","active","41"
"gst","gstValue","gstValue","active","42"
"serviceTax","serviceTax","serviceTax","active","43"
"grossPremium","grossPremium","grossPremium","active","44"
"premiumCollected","premiumCollected","premiumCollected","active","45"
"brokeragePercentage","brokeragePercentage","brokeragePercentage","active","46"
"brokerageAmount","brokerageAmount","brokerageAmount","active","47"
"terrorismCommissionAmount","terrorismCommissionAmount","terrorismCommissionAmount","active","48"
"terrorismCommissionPercentage","terrorismCommissionPercentage","terrorismCommissionPercentage","active","49"
"brokerageCollected","brokerageCollected","brokerageCollected","active","50"
"fees","fees","fees","active","51"
"brokerageAmountAsEnteredByIsg","brokerageAmountAsEnteredByIsg","brokerageAmountAsEnteredByIsg","active","52"
"brokerageAmountAsPerIwork","brokerageAmountAsPerIwork","brokerageAmountAsPerIwork","active","53"
"dealConfirmed","dealConfirmed","dealConfirmedLid","inactive","54"
"policyStatus","policyStatus","policyStatus","active","55"
"entryInIwork","entryInIwork","createdAt","active","56"
"iirmPolNo","iirmPolNo","policyId","active","57"
"iirmRefNo","iirmRefNo","iirmRefNo","active","58"
"iworkUniqueId","iworkUniqueId","iworkUniqueId","active","59"
"policyOwnerReportingManager","policyOwnerReportingManager","policyOwnerReportingManager","inactive","60"
"uniqueExternalReference","uniqueExternalReference","uniqueExternalReference","inactive","61"
"uniqueIworkedgeReference","uniqueIworkedgeReference","uniqueIworkedgeReference","inactive","62"
