Policy_Type_ID,Policy_Type,Cover_Name,Cover_Type_Name,Cover_Sequence,Mandatory,Input_Type,Org.
20309,Accident,,,,,,
20303,Accident,,,,,,
18554,Accident Guard Plus – Protect,Personal Accident,Basic,1,Yes,TEXTAREA,IIRM India
18554,Accident Guard Plus – Protect,Others,Asset,2,No,TEXTAREA,IIRM India
20887,Accident Guard Plus – Protect,,,,,,
18544,Agricultural Pumpset Insurance Policy (Micro),Micro / Agriculture,Basic,1,Yes,TEXTAREA,IIRM India
18544,Agricultural Pumpset Insurance Policy (Micro),Others,Asset,2,No,TEXTAREA,IIRM India
20878,Agricultural Pumpset Insurance Policy (Micro),,,,,,
3203,All Risk Policy,Nature of property to be covered,Asset,1,Yes,TEXTAREA,IIRM India
3203,All Risk Policy,Total Sum Insured,Asset,2,Yes,TEXTAREA,IIRM India
3203,All Risk Policy,"Fire & Allied Perils, Inclusive of Earthquake",Basic,3,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Burglary with Theft extension,Basic,4,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Electrical & Mechanical Breakdown,Basic,5,Yes,TEXT,IIRM India
3203,All Risk Policy,Accidental Damage,Add On,6,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,RSMD,Add On,7,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Terrorism,Basic,8,Yes,TEXT,IIRM India
3203,All Risk Policy,Coverage whilst in transit as accompanied baggage,Add On,9,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Basis of valuation,Asset,10,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Geographical Limit,Basic,11,Yes,DROPDOWN,IIRM India
3203,All Risk Policy,Excess/Deductible,Deductable / copay,12,Yes,TEXTAREA,IIRM India
3203,All Risk Policy,Claim Status incl Nature of claims,Asset,13,Yes,TEXTAREA,IIRM India
3203,All Risk Policy,Waiver of Under Insurance,Add On,14,Yes,TEXTAREA,IIRM India
3203,All Risk Policy,Terms & Conditions,Add On,15,Yes,TEXTAREA,IIRM India
20769,All_Risk_Insurance,,,,,,
20304,Aviation,,,,,,
20310,Aviation,,,,,,
18167,Aviation Hull All Risk Insurance,Sum Insured,Asset,1,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Aircraft Model,Asset,2,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Year of Mfg,Asset,3,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Reg. No. / MSN,Asset,4,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Declared Seating Capacity,Asset,5,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Aircraft & Engine Value Equipment Value,Asset,6,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Engine Sr. No,Asset,7,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Engine Type,Asset,8,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Passenger Liability,Add On,9,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Geographical Limits,Asset,10,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Third Party Legal Liability (Bodily Injury / Property Damage / Personal Injury),Add On,11,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Other Terms and Conditions,Add On,12,Yes,TEXTAREA,IIRM India
18167,Aviation Hull All Risk Insurance,Deductibles,Asset,13,Yes,TEXTAREA,IIRM India
18591,Aviation Hull War & Allied Risks Insurance,Aviation – Hull / War,Basic,1,Yes,TEXTAREA,IIRM India
18591,Aviation Hull War & Allied Risks Insurance,Others,Asset,2,No,TEXTAREA,IIRM India
20911,Aviation Hull War & Allied Risks Insurance,,,,,,
18551,Baggage Insurance,Travel – Baggage,Basic,1,Yes,TEXTAREA,IIRM India
18551,Baggage Insurance,Others,Asset,2,No,TEXTAREA,IIRM India
20885,Baggage Insurance,,,,,,
18514,Bank Locker Protector Policy,Liability – Bank / Customer Property,Basic,1,Yes,TEXTAREA,IIRM India
18514,Bank Locker Protector Policy,Others,Asset,2,No,TEXTAREA,IIRM India
20675,Bank Locker Protector Policy,,,,,,
18509,Bankers Indemnity Insurance,Liability – Financial Institutions,Basic,1,Yes,TEXTAREA,IIRM India
18509,Bankers Indemnity Insurance,Others,Asset,2,No,TEXTAREA,IIRM India
20672,Bankers Indemnity Insurance,,,,,,
