id,value_key,lookup_key,lookup_name,value,description,created_at,updated_at,created_by,updated_by,lookup_order,deleted_at,status,organisation_id
3219,EDLI,POLICY_TYPE_EDLI,POLICY_TYPE,Employees’ Deposit Linked Insurance Scheme (EDLI),Employeesâ€™ Deposit Linked Insurance â€“ Provides life insurance benefit linked to provident fund contributions.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,26,,1,1
18542,DIRECTORS_AND_OFFICERS_LIABILITY,POLICY_TYPE_DIRECTORS_AND_OFFICERS_LIABILITY,POLICY_TYPE,D and O,DIRECTORS AND OFFICERS LIABILITY,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,229,,0,1
18516,FIDELITY_GUARANTEE_INSURANCE,POLICY_TYPE_FIDELITY_GUARANTEE_INSURANCE,POLICY_TYPE,Fidelity Guarantee Insurance,Fidelity Guarantee Insurance,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,203,,1,1
3214,D_AND_O,POLICY_TYPE_D_AND_O,POLICY_TYPE,Directors and Officers Liability Insurance (D&O),Directors and Officers Liability Insurance â€“ Covers legal liability of directors/officers for wrongful acts.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,24,,1,1
3202,GMC,POLICY_TYPE_GMC,POLICY_TYPE,Group Mediclaim Policy,Group Mediclaim Insurance â€“ Provides hospitalization and medical expense cover for a group.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,34,,1,1
3201,GPA,POLICY_TYPE_GPA,POLICY_TYPE,Group Personal Accident Policy,Group Personal Accident Insurance â€“ Covers accidental death or disability of employees.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,36,,1,1
3211,FIRE_INSURANCE,POLICY_TYPE_FIRE,POLICY_TYPE,Fire Insurance,"Fire Insurance â€“ Covers damage to property caused by fire, lightning, explosion, etc.",2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,32,,1,1
3220,GTL,POLICY_TYPE_GTL,POLICY_TYPE,Group Term Life Insurance (GTL),Group Term Life Insurance â€“ Offers term life cover to a group of employees/members.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,38,,1,1
3209,MCE,POLICY_TYPE_MCE,POLICY_TYPE,Marine Cargo Export Insurance (MCE),Machinery and Construction Equipment Insurance â€“ Protects construction equipment from damage/loss.,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,60,,1,1
18167,AVIATION_HULL_ALL_RISK,POLICY_TYPE_AVIATION_HULL_ALL_RISK,POLICY_TYPE,Aviation Hull All Risk Insurance,Aviation Hull All Risk,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,3,,1,1
4635,GRATUITY,POLICY_TYPE_GRATUITY,POLICY_TYPE,Group Gratuity Insurance,Gratuity,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,37,,1,1
4636,IAR,POLICY_TYPE_IAR,POLICY_TYPE,Individual Accident / Personal Accident Insurance (IAR),IAR,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,40,,1,1
4637,KEY_MAN,POLICY_TYPE_KEY_MAN,POLICY_TYPE,Keyman Insurance,Key Man,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,45,,1,1
4638,LEAVE_ENCASHMENT,POLICY_TYPE_LEAVE_ENCASHMENT,POLICY_TYPE,Group Leave Encashment Scheme,Leave Encashment,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,46,,1,1
4644,SUPERANNUATION,POLICY_TYPE_SUPERANNUATION,POLICY_TYPE,Group Superannuation Scheme,Superannuation,2025-05-31 06:18:03.138208+00,2025-05-31 06:18:03.138208+00,SYSTEM,SYSTEM,181,,1,1
18519,MOTOR_LIABILITY_POLICY_-_COMMERCIAL_VEHILE,POLICY_TYPE_MOTOR_LIABILITY_POLICY_-_COMMERCIAL_VEHILE,POLICY_TYPE,Motor Liability Policy – Commercial Vehicle,Motor Liability Policy - Commercial Vehile,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,206,,1,1
18521,BURGLARY_AND_HOUSEBREAKING_INSURANCE,POLICY_TYPE_BURGLARY_AND_HOUSEBREAKING_INSURANCE,POLICY_TYPE,Burglary & Housebreaking Insurance,Burglary and Housebreaking Insurance,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,208,,1,1
18522,TRAVEL_INSURANCE,POLICY_TYPE_TRAVEL_INSURANCE,POLICY_TYPE,Travel Insurance,Travel Insurance,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,209,,1,1
18524,MARINE_CARGO_-_OPEN_POLICY,POLICY_TYPE_MARINE_CARGO_-_OPEN_POLICY,POLICY_TYPE,Marine Cargo Open Policy,Marine Cargo - Open Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,211,,1,1
18525,MACHINERY_BREAKDOWN,POLICY_TYPE_MACHINERY_BREAKDOWN,POLICY_TYPE,Machinery Breakdown Insurance (MBD),MACHINERY BREAKDOWN,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,212,,1,1
18526,MOTOR_LIABILITY_POLICY_-_TWO_WHEELER,POLICY_TYPE_MOTOR_LIABILITY_POLICY_-_TWO_WHEELER,POLICY_TYPE,Motor Liability Policy – Two Wheeler,Motor Liability Policy - Two Wheeler,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,213,,1,1
18527,MOTOR_3_WHEELER_GOODS_CARRYING_POLICY,POLICY_TYPE_MOTOR_3_WHEELER_GOODS_CARRYING_POLICY,POLICY_TYPE,Motor 3-Wheeler Goods Carrying Vehicle Insurance,Motor 3 Wheeler Goods Carrying Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,214,,1,1
18528,MOTOR_3_WHEELER_PASSENGER_CARRYING_POLICY,POLICY_TYPE_MOTOR_3_WHEELER_PASSENGER_CARRYING_POLICY,POLICY_TYPE,Motor 3-Wheeler Passenger Carrying Vehicle Insurance,Motor 3 Wheeler Passenger Carrying Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,215,,1,1
15030,RI_TECHNOLOGY_ERRORS_AND_OMISSIONS_AND_NET_WORK_RISKS_LIABILITY,POLICY_TYPE_RI_TECHNOLOGY_ERRORS_AND_OMISSIONS_AND_NET_WORK_RISKS_LIABILITY,POLICY_TYPE,Reinsurance – Technology Errors & Omissions & Network Risks Liability,RI_Technology Errors and Omissions and net work risks liability,2025-07-02 09:38:44.145735+00,2025-07-02 09:38:44.145735+00,SYSTEM,SYSTEM,169,,1,1
15031,POSI,POLICY_TYPE_POSI,POLICY_TYPE,Public Offer Securities Insurance (POSI),POSI,2025-07-02 09:38:44.145735+00,2025-07-02 09:38:44.145735+00,SYSTEM,SYSTEM,86,,1,1
18530,WORKMENS_COMPENSATION_POLICY,POLICY_TYPE_WORKMENS_COMPENSATION_POLICY,POLICY_TYPE,Workmen Compensation Insurance (WC),Workmens Compensation Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,217,,1,1
18531,COMMERCIAL_GENERAL_LIABILITY_INSURANCE,POLICY_TYPE_COMMERCIAL_GENERAL_LIABILITY_INSURANCE,POLICY_TYPE,Commercial General Liability Insurance (CGL),Commercial General Liability Insurance,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,218,,1,1
18532,MOTOR_LIABILITY_POLICY_-_PRIVATE_CAR,POLICY_TYPE_MOTOR_LIABILITY_POLICY_-_PRIVATE_CAR,POLICY_TYPE,Motor Liability Policy – Private Car,Motor Liability Policy - Private Car,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,219,,1,1
18533,MOTOR_PCV_POLICY,POLICY_TYPE_MOTOR_PCV_POLICY,POLICY_TYPE,Motor Commercial Vehicle Insurance,Motor PCV Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,220,,1,1
18534,HEALTH_FAMILY_FLOATER_POLICY,POLICY_TYPE_HEALTH_FAMILY_FLOATER_POLICY,POLICY_TYPE,Health Family Floater Policy,Health Family Floater Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,221,,1,1
18535,MARINE_TRANSIT_POLICY,POLICY_TYPE_MARINE_TRANSIT_POLICY,POLICY_TYPE,Marine Transit Insurance,Marine Transit Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,222,,1,1
18536,MARINE_CARGO_-_SPECIFIC_POLICY,POLICY_TYPE_MARINE_CARGO_-_SPECIFIC_POLICY,POLICY_TYPE,Marine Cargo Specific Policy,Marine Cargo - Specific Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,223,,1,1
18538,STANDALONE_TERRORISM_POLICY,POLICY_TYPE_STANDALONE_TERRORISM_POLICY,POLICY_TYPE,Standalone Terrorism Policy,Standalone Terrorism Policy,2025-08-18 16:08:13.072431+00,2025-08-18 16:08:13.072431+00,SYSTEM,SYSTEM,225,,1,1
