id,ref_cover_id,cover_name,cover_description,mandatory,organization_id,policy_type_id,display_sequence,display_category,cover_type,input_type,input_lov,cover_meta,created_at,updated_at,created_by,updated_by,section_id
5032,5032,"Cover of extra charges for overtime, night work, work on public holidays, express, expediting costs, Express freight including air freight",Cross liability,Yes,1,18543,44,,1602,textarea,,"{""formConfig"":[{""key"":""coverOfExtraChargesForOvertime,NightWork,WorkOnPublicHolidays,Express,ExpeditingCosts,ExpressFreightIncludingAirFreight"",""name"":""coverOfExtraChargesForOvertime,NightWork,WorkOnPublicHolidays,Express,ExpeditingCosts,ExpressFreightIncludingAirFreight"",""type"":""textarea"",""label"":""Cover of extra charges for overtime, night work, work on public holidays, express, expediting costs, Express freight including air freight"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
7165,6103,Nature of Goods to be covered,,Yes,1,15079,1,,1606,textarea,,"{""formConfig"":[{""key"":""natureOfGoodsToBeCovered"",""name"":""natureOfGoodsToBeCovered"",""type"":""textarea"",""label"":""Nature of Goods to be covered"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-09-25 09:22:58.226364+00,2025-09-25 09:22:58.226364+00,1,1,
6212,6186,No. of Dependents,No. of Dependents,Yes,1,3202,4,,1606,textarea,,"{""formConfig"":[{""key"":""no.OfDependents"",""name"":""no.OfDependents"",""type"":""textarea"",""label"":""No. of Dependents"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-22 14:50:58.143253+00,2025-07-22 14:50:58.143253+00,1,1,
6204,6178,Claims outstanding under corporate buffer - Reimbursement,Claims outstanding under corporate buffer - Reimbursement,Yes,1,3202,68,,1606,textarea,,"{""formConfig"":[{""key"":""claimsOutstandingUnderCorporateBuffer-Reimbursement"",""name"":""claimsOutstandingUnderCorporateBuffer-Reimbursement"",""type"":""textarea"",""label"":""Claims outstanding under corporate buffer - Reimbursement"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-22 14:50:58.143253+00,2025-07-22 14:50:58.143253+00,1,1,
6054,6054,72 hours clause,Basis of Valuation,Yes,1,3211,9,,1604,textarea,"{""cover_type_book_value"":""Book value"",""cover_type_replacement_value"":""Replacement value"",""cover_type_market_value_basis"":""Market Value Basis"",""cover_type_reinstatement_value_basis"":""Reinstatement Value Basis""}","{""formConfig"":[{""key"":""72HoursClause"",""name"":""72HoursClause"",""type"":""textarea"",""label"":""72 hours clause"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5084,5382,Waiver of Contribution Clause,Earthquake,Yes,1,18543,20,,1602,textarea,,"{""formConfig"":[{""key"":""waiverOfContributionClause"",""name"":""waiverOfContributionClause"",""type"":""textarea"",""label"":""Waiver of Contribution Clause"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5771,5771,Midterm Sum Insured Enhancement,Maximum Number of cases during the Policy period for Corporate Buffer if same is to be capped,Yes,1,3202,74,,1601,textarea,,"{""formConfig"":[{""key"":""midtermSumInsuredEnhacement"",""name"":""midtermSumInsuredEnhacement"",""type"":""textarea"",""label"":""Midterm Sum Insured Enhacement"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5586,5586,72 Hours Clause,capital addition automatically held covered,Yes,1,4636,109,,1604,text,,"{""formConfig"":[{""key"":""72HoursClause"",""name"":""72HoursClause"",""type"":""text"",""label"":""72 Hours Clause"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""fullWidth"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5019,5019,Continuity cover for part of contract works put into use or operation,Waiver of subrogtion,Yes,1,18543,15,,1602,textarea,,"{""formConfig"":[{""key"":""continuityCoverForPartOfContractWorksPutIntoUseOrOperation"",""name"":""continuityCoverForPartOfContractWorksPutIntoUseOrOperation"",""type"":""textarea"",""label"":""Continuity cover for part of contract works put into use or operation"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5039,5039,Crane hiring charges,Additional custom duty,Yes,1,18543,52,,1602,textarea,,"{""formConfig"":[{""key"":""craneHiringCharges"",""name"":""craneHiringCharges"",""type"":""textarea"",""label"":""Crane hiring charges"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5011,5011,Escalation,Escalation,Yes,1,18543,9,,1602,textarea,,"{""formConfig"":[{""key"":""escalation"",""name"":""escalation"",""type"":""textarea"",""label"":""Escalation"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5488,5488,Abandonment of Property ,Goods held in trust,Yes,1,4636,85,,1601,text,,"{""formConfig"":[{""key"":""abandonmentOfProperty"",""name"":""abandonmentOfProperty"",""type"":""text"",""label"":""Abandonment of Property "",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""fullWidth"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5504,5504,Accidental Damage,Earthquake,Yes,1,4636,123,,1601,text,,"{""formConfig"":[{""key"":""accidentalDamage"",""name"":""accidentalDamage"",""type"":""text"",""label"":""Accidental Damage"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""fullWidth"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5301,5301,Accidental Damage,Accidental Damage,Yes,1,3203,6,,1602,dropdown,"{""cover_type_no"":""No"",""cover_type_yes"":""Yes""}","{""formConfig"":[{""key"":""accidentalDamage"",""name"":""accidentalDamage"",""type"":""select"",""label"":""Accidental Damage"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""options"":[{""label"":""Yes"",""value"":""Yes""},{""label"":""No"",""value"":""No""}],""gridColumn"":5,""componentProps"":{""fullWidth"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
5861,5861,Accidental Damage cover ,Declaration Clause,Yes,1,3211,41,,1602,textarea,"{""cover_type_no"":""No"",""cover_type_yes"":""Yes""}","{""formConfig"":[{""key"":""accidentalDamageCover"",""name"":""accidentalDamageCover"",""type"":""textarea"",""label"":""Accidental Damage cover "",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":9,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
6012,6012,New born baby cover from day 1 required,New born baby cover from day 1 required,Yes,1,3202,18,,1601,textarea,,"{""formConfig"":[{""key"":""newBornBabyCoverFromDay1Required"",""name"":""newBornBabyCoverFromDay1Required"",""type"":""textarea"",""label"":""New born baby cover from day 1 required"",""rules"":{""required"":{""value"":true,""message"":""This is required field""}},""gridColumn"":5,""componentProps"":{""rows"":3,""fullWidth"":true,""multiline"":true}}]}",2025-07-17 12:23:09.110068+00,2025-07-17 12:23:09.110068+00,1,1,
