S No,Library_Name,Version,Ecosystem,Recommended Version,License,Dependency_Type,Vulnerabilities,Project,Path
1,axios,1.13.5,npm,1.16.0,,Direct,23,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json
2,axios,1.13.6,npm,1.16.0,,Direct,23,package-lock.json,package-lock.json
3,koa,2.15.4,npm,2.16.4,,Transitive,8,package-lock.json,package-lock.json
4,undici,6.23.0,npm,6.24.0,,Transitive,8,package-lock.json,package-lock.json
5,handlebars,4.7.7,npm,4.7.9,MIT,Direct,6,package-lock.json,package-lock.json
6,handlebars,4.7.8,npm,4.7.9,MIT,Direct,6,package-lock.json,package-lock.json
7,file-type,20.4.1,npm,21.3.2,,Transitive,4,package-lock.json,package-lock.json
8,file-type,21.0.0,npm,21.3.2,,Transitive,4,package-lock.json,package-lock.json
9,formidable,2.1.5,npm,3.5.3,,Transitive,4,package-lock.json,package-lock.json
10,dompurify,3.3.3,npm,3.4.0,,Direct,3,package-lock.json,package-lock.json
11,picomatch,4.0.1,npm,4.0.4,MIT,Transitive,3,package-lock.json,package-lock.json
12,tmp,0.0.33,npm,0.2.6,MIT,Transitive,3,package-lock.json,package-lock.json
13,basic-ftp,5.2.0,npm,5.3.1,,Transitive,3,package-lock.json,package-lock.json
14,jspdf,4.2.0,npm,4.2.1,,Direct,3,package-lock.json,package-lock.json
15,picomatch,4.0.2,npm,4.0.4,MIT,Transitive,3,package-lock.json,package-lock.json
16,ajv,8.13.0,npm,8.18.0,,Transitive,2,package-lock.json,package-lock.json
17,picomatch,4.0.3,npm,4.0.4,,Transitive,2,package-lock.json,package-lock.json
18,elliptic,6.6.1,npm,,,Transitive,2,package-lock.json,package-lock.json
19,picomatch,2.3.1,npm,2.3.2,MIT,Transitive,2,package-lock.json,package-lock.json
20,quill,1.3.7,npm,2.0.0,BSD-3-Clause,Transitive,2,package-lock.json,package-lock.json
21,@tootallnate/once,2.0.0,npm,2.0.1,MIT,Transitive,2,package-lock.json,package-lock.json
22,yauzl,2.10.0,npm,3.2.1,MIT,Transitive,2,package-lock.json,package-lock.json
23,vite,6.4.1,npm,6.4.2,,Direct,2,package-lock.json,package-lock.json
24,brace-expansion,5.0.4,npm,5.0.6,,Transitive,2,package-lock.json,package-lock.json
25,fast-uri,3.1.0,npm,3.1.2,,Transitive,2,package-lock.json,package-lock.json
26,ajv,8.17.1,npm,8.18.0,,Transitive,2,package-lock.json,package-lock.json
27,file-type,17.1.6,npm,21.3.2,,Transitive,2,package-lock.json,package-lock.json
28,bn.js,4.12.3,npm,5.2.3,,Transitive,2,package-lock.json,package-lock.json
29,ajv,8.12.0,npm,8.18.0,,Transitive,2,package-lock.json,package-lock.json
30,fast-xml-parser,5.5.6,npm,5.7.0,,Transitive,2,package-lock.json,package-lock.json
31,ws,8.19.0,npm,8.20.1,,Transitive,1,package-lock.json,package-lock.json
32,yaml,2.8.2,npm,2.8.3,,Transitive,1,package-lock.json,package-lock.json
33,react-router,6.30.3,npm,6.30.4,,Transitive,1,package-lock.json,package-lock.json
34,shell-quote,1.8.3,npm,1.8.4,,Transitive,1,package-lock.json,package-lock.json
35,uuid,11.1.0,npm,11.1.1,,Transitive,1,package-lock.json,package-lock.json
36,@babel/plugin-transform-modules-systemjs,7.29.0,npm,7.29.4,,Transitive,1,package-lock.json,package-lock.json
37,tmp,0.2.5,npm,0.2.6,,Transitive,1,package-lock.json,package-lock.json
38,webpack-dev-server,5.2.3,npm,5.2.4,,Transitive,1,package-lock.json,package-lock.json
39,flatted,3.4.1,npm,3.4.2,,Transitive,1,package-lock.json,package-lock.json
40,uuid,8.0.0,npm,11.1.1,,Transitive,1,package-lock.json,package-lock.json
41,path-to-regexp,0.1.12,npm,0.1.13,,Transitive,1,package-lock.json,package-lock.json
42,serialize-javascript,6.0.2,npm,7.0.5,BSD-3-Clause,Transitive,1,package-lock.json,package-lock.json
43,@ai-sdk/provider-utils,3.0.20,npm,4.0.0,,Transitive,1,package-lock.json,package-lock.json
44,ws,8.17.1,npm,8.20.1,,Transitive,1,package-lock.json,package-lock.json
45,uuid,9.0.1,npm,11.1.1,,Transitive,1,package-lock.json,package-lock.json
46,lodash,4.17.23,npm,4.18.0,,Transitive,1,package-lock.json,package-lock.json
47,qs,6.15.0,npm,6.15.2,,Transitive,1,package-lock.json,package-lock.json
48,fast-xml-builder,1.1.4,npm,1.1.7,,Transitive,1,package-lock.json,package-lock.json
49,@strapi/plugin-users-permissions,5.36.0,npm,,,Direct,1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json
50,path-to-regexp,8.3.0,npm,8.4.0,,Transitive,1,package-lock.json,package-lock.json
51,@strapi/strapi,5.36.0,npm,5.37.0,,Direct,1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json
52,yaml,1.10.2,npm,1.10.3,,Transitive,1,package-lock.json,package-lock.json
53,defu,6.1.4,npm,6.1.5,MIT,Transitive,1,package-lock.json,package-lock.json
54,lodash-es,4.17.23,npm,4.18.0,,Transitive,1,package-lock.json,package-lock.json
55,@strapi/plugin-users-permissions,5.39.0,npm,,,Direct,1,package-lock.json,package-lock.json
56,uuid,8.3.2,npm,11.1.1,,Transitive,1,package-lock.json,package-lock.json
57,vitest,3.2.4,npm,3.2.6,,Direct,1,package-lock.json,package-lock.json
58,ws,8.18.0,npm,8.20.1,,Transitive,1,package-lock.json,package-lock.json
59,postcss,8.5.8,npm,8.5.10,,Transitive,1,package-lock.json,package-lock.json
60,postcss,8.4.49,npm,8.5.10,,Transitive,1,package-lock.json,package-lock.json
61,ip-address,10.1.0,npm,10.1.1,,Transitive,1,package-lock.json,package-lock.json
62,@ai-sdk/provider-utils,3.0.9,npm,4.0.0,,Transitive,1,package-lock.json,package-lock.json
63,@nestjs/core,10.4.22,npm,11.1.18,,Direct,1,package-lock.json,package-lock.json
64,commander,11.1.0,npm,,,Transitive,0,package-lock.json,package-lock.json
65,is-binary-path,2.1.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
66,svg-pathdata,6.0.3,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
67,pend,1.2.0,npm,,MIT,Transitive,0,package-lock.json,package-lock.json
