S No,CVE_ID,Library_Name,Library_Version,Severity,Patched_Version,Project,Path,Status
1,CVE-2025-64526,@strapi/plugin-users-permissions,5.36.0,medium,5.45.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
2,CVE-2025-62718,axios,1.13.5,critical,1.15.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
3,CVE-2026-42040,axios,1.13.5,low,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
4,CVE-2026-42044,axios,1.13.5,critical,1.15.2,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
5,CVE-2026-42043,axios,1.13.5,critical,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
6,CVE-2026-42041,axios,1.13.5,medium,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
7,CVE-2026-42042,axios,1.13.5,medium,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
8,CVE-2026-42035,axios,1.13.5,high,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
9,CVE-2026-42033,axios,1.13.5,high,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
10,CVE-2026-42036,axios,1.13.5,medium,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
11,CVE-2026-42034,axios,1.13.5,medium,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
12,CVE-2026-42038,axios,1.13.5,high,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
13,CVE-2026-42037,axios,1.13.5,medium,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
14,CVE-2026-42264,axios,1.13.5,high,1.15.2,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
15,CVE-2026-40175,axios,1.13.5,medium,1.15.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
16,CVE-2026-44490,axios,1.13.5,medium,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
17,CVE-2026-44492,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
18,CVE-2026-44486,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
19,CVE-2026-44487,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
20,CVE-2026-44488,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
21,CVE-2026-42039,axios,1.13.5,high,1.15.1,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
22,CVE-2026-44494,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
23,CVE-2026-44495,axios,1.13.5,high,1.15.2,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
24,CVE-2026-44496,axios,1.13.5,high,1.16.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
25,CVE-2026-27886,@strapi/strapi,5.36.0,high,5.37.0,apps/services/strapi-cms-service/package.json,apps/services/strapi-cms-service/package.json,new
26,CVE-2026-33671,picomatch,2.3.1,high,2.3.2,package-lock.json,package-lock.json,new
27,CVE-2026-33672,picomatch,2.3.1,medium,2.3.2,package-lock.json,package-lock.json,new
28,CVE-2026-41305,postcss,8.5.8,medium,8.5.10,package-lock.json,package-lock.json,new
29,CVE-2026-4800,lodash,4.17.23,high,4.18.0,package-lock.json,package-lock.json,new
30,CVE-2025-64526,@strapi/plugin-users-permissions,5.39.0,medium,5.45.0,package-lock.json,package-lock.json,new
31,CVE-2026-33671,picomatch,4.0.1,high,4.0.4,package-lock.json,package-lock.json,new
32,CVE-2026-33672,picomatch,4.0.1,medium,4.0.4,package-lock.json,package-lock.json,new
33,CVE-2026-4923,path-to-regexp,8.3.0,medium,8.4.0,package-lock.json,package-lock.json,new
34,CVE-2026-6402,webpack-dev-server,5.2.3,medium,5.2.4,package-lock.json,package-lock.json,new
35,CVE-2026-31808,file-type,20.4.1,medium,21.3.1,package-lock.json,package-lock.json,new
36,CVE-2026-32630,file-type,20.4.1,medium,21.3.2,package-lock.json,package-lock.json,new
37,CVE-2026-33671,picomatch,4.0.3,high,4.0.4,package-lock.json,package-lock.json,new
38,CVE-2026-33672,picomatch,4.0.3,medium,4.0.4,package-lock.json,package-lock.json,new
39,CVE-2026-41907,uuid,8.3.2,high,11.1.1,package-lock.json,package-lock.json,new
40,CVE-2026-9277,shell-quote,1.8.3,high,1.8.4,package-lock.json,package-lock.json,new
41,CVE-2026-8769,@ai-sdk/provider-utils,3.0.9,medium,None,package-lock.json,package-lock.json,new
42,CVE-2026-6321,fast-uri,3.1.0,high,3.1.1,package-lock.json,package-lock.json,new
43,CVE-2026-6322,fast-uri,3.1.0,high,3.1.2,package-lock.json,package-lock.json,new
44,CVE-2026-44705,tmp,0.2.5,high,0.2.6,package-lock.json,package-lock.json,new
45,CVE-2026-44665,fast-xml-builder,1.1.4,medium,1.1.7,package-lock.json,package-lock.json,new
46,CVE-2026-33532,yaml,2.8.2,medium,2.8.3,package-lock.json,package-lock.json,new
47,CVE-2026-4867,path-to-regexp,0.1.12,high,0.1.13,package-lock.json,package-lock.json,new
48,CVE-2026-33937,handlebars,4.7.7,critical,4.7.9,package-lock.json,package-lock.json,new
49,CVE-2026-33916,handlebars,4.7.7,medium,4.7.9,package-lock.json,package-lock.json,new
50,CVE-2026-33938,handlebars,4.7.7,high,4.7.9,package-lock.json,package-lock.json,new
51,CVE-2026-33940,handlebars,4.7.7,high,4.7.9,package-lock.json,package-lock.json,new
52,CVE-2026-33939,handlebars,4.7.7,high,4.7.9,package-lock.json,package-lock.json,new
53,CVE-2026-33941,handlebars,4.7.7,high,4.7.9,package-lock.json,package-lock.json,new
54,CVE-2025-62718,axios,1.13.6,critical,1.15.0,package-lock.json,package-lock.json,new
55,CVE-2026-42040,axios,1.13.6,low,1.15.1,package-lock.json,package-lock.json,new
56,CVE-2026-42044,axios,1.13.6,critical,1.15.2,package-lock.json,package-lock.json,new
